EAN_13,categorie,code,description,marque,nom,prix,reference_fabricant,remise_pourcentage,url_produit
4006825674514,Rainureuse,B8563700,"La rainureuse murale sans fil Einhell TP-MA 36/30 Li BL - Solo est un outil performant et pratique pour créer des rainures et des canaux précis dans la maçonnerie, idéale pour l'installation de câbles et autres conduits. Fonctionnant avec deux batteries Power X-Change 18 V, elle offre une liberté de mouvement totale, sans les contraintes d’un câble.",EINHELL,Rainureuse murale sans fil  TP-MA 36/30 Li BL - Solo - EINHELL,293.14,EIN-4350800,10.61,https://www.centrale-brico.com/einhell-rainureuse-murale-sans-fil-tp-ma-3630-li-bl-solo-b8563700
9120039900681,Machine à bois,B8303800," 1 coupe en bout, 1affleureuse double.",Holzmann,Plaqueuse de chants mobile - 2000W - 230V - Holzmann,342.6,HOL-KAM50M_230V,N/A,https://www.centrale-brico.com/holzmann-plaqueuse-de-chants-mobile-2000w-230v-b8303800
9120039230405,Coupe carrelage,B8344800,,Zipper,Coupe carreaux - lame réfrigérée à l'eau - 500W - 230V - Zipper,72.0,ZIP-ZI-FS115,N/A,https://www.centrale-brico.com/zipper-coupe-carreaux-lame-refrigeree-a-l-eau-500w-230v-b8344800
4006825672947,Machine multifonction,B8562500,"L'outil multifonction sans fil Einhell TE-MG 18/1 Li - Solo est conçu pour répondre aux besoins de travaux variés, comme le sciage, le ponçage et le grattage, dans le cadre de constructions, rénovations ou rénovations. Faisant partie de la famille Power X-Change, il est compatible avec toutes les batteries de cette gamme (batterie et chargeur vendus séparément). Son attache rapide permet un changement d'accessoires sans outil, offrant ainsi une grande flexibilité et rapidité dans les travaux.",EINHELL,Outil multifonction sans fil  TE-MG 18/1 Li - Solo - EINHELL,92.94,EIN-4465195,N/A,https://www.centrale-brico.com/einhell-outil-multifonction-sans-fil-te-mg-181-li-solo-b8562500
9120039902647,Machine multifonction,B8334800,"Poids net en kg : 0,50",Holzmann,Nettoyeur diamant en T pour meules - Holzmann,43.9,HOL-TDSSA45,N/A,https://www.centrale-brico.com/holzmann-nettoyeur-diamant-en-t-pour-meules-b8334800
9120058372872,Machine multifonction,B8330300," 2 panne de rechange, fil de soudure 10 g, Flux 10g",Holzmann,Pistolet à souder - 200WW - 230V / 50Hz - Holzmann,54.84,HOL-LP700_230V,10.83,https://www.centrale-brico.com/holzmann-pistolet-a-souder-200ww-230v-50hz-b8330300
9120058372865,Machine multifonction,B8329100,"Poids net en kg : 1,80",Holzmann,Decapeur thermique - 2000W - 230V / 50Hz - Holzmann,66.0,HOL-HLP2000_230V,N/A,https://www.centrale-brico.com/holzmann-decapeur-thermique-2000w-230v-50hz-b8329100
9120058373510,Machine multifonction,B8321800," Protecteur de copeaux, guide parallèle, adaptateur de copeaux, butée de profondeur type “revolver” et compas",Holzmann,Défonceuse - 1200W - 230V / 50Hz - Holzmann,110.1,HOL-OBF1200_230V,N/A,https://www.centrale-brico.com/holzmann-defonceuse-1200w-230v-50hz-b8321800
9120058371707,Machine multifonction,B8316200,"Poids net en kg : 1,52",Holzmann,Boîtier de démarrage synchronisé 400V / 230 V - Holzmann,130.73,HOL-ALA1_400V,15.22,https://www.centrale-brico.com/holzmann-boitier-de-demarrage-synchronise-400v-230-v-b8316200
9120058372346,Machine multifonction,B8314800,"Poids net en kg : 1,41",Holzmann,Outils tournage - Holzmann,152.21,HOL-9TLG10,13.62,https://www.centrale-brico.com/holzmann-outils-tournage-b8314800
9120058371752,Machine multifonction,B8313300,"Poids net en kg : 4,20",Holzmann,Satineuse - 800W - 230V / 50Hz - Holzmann,163.18,HOL-SM100_230V,10.29,https://www.centrale-brico.com/holzmann-satineuse-800w-230v-50hz-b8313300
9120039905549,Machine multifonction,B8309300,Poids net en kg : 9,Holzmann,Encocheuse manuelle de tubes - Holzmann,238.9,HOL-RAM43,N/A,https://www.centrale-brico.com/holzmann-encocheuse-manuelle-de-tubes-b8309300
9120039905556,Machine multifonction,B8306800,Poids net en kg : 19,Holzmann,Encocheuse manuelle de tubes - Holzmann,270.98,HOL-RAM61,1.28,https://www.centrale-brico.com/holzmann-encocheuse-manuelle-de-tubes-b8306800
9120058376153,Machine multifonction,B8302000,"Différentes versions de palans électriques, adaptés pour le levage et le déplacement des charges dans les chantiers.",Holzmann,Palan électrique 1600 W - 230 V - charge max 1000 kg - Holzmann,555.0,HOL-ESZ1000D_230V,N/A,https://www.centrale-brico.com/holzmann-palan-electrique-1600-w-230-v-charge-max-1000-kg-b8302000
9120039903262,Machine multifonction,B8299500,Poids net en kg : 30,Holzmann,Mortaiseuse pour dégauchisseuse HOB260NL ou ECO + mandrin - Holzmann,645.0,HOL-K5260LLL,N/A,https://www.centrale-brico.com/holzmann-mortaiseuse-pour-degauchisseuse-hob260nl-ou-eco-mandrin-b8299500
,Chargeur-Batterie,B8574300,"La batterie IKRA 36V 6,0 Ah Li-Ion Type LI 28 est une source d'énergie puissante et durable, idéale pour les travaux exigeants de jardinage et de bricolage. Fabriquée en Europe, elle garantit une qualité supérieure et une compatibilité totale avec toutes les machines Bosch 36V.",Ikra,Batterie de marque Ikra - 36V 6Ah 216Wh - Li-Ion type LI 28 - compatible avec tous les produits Bosch - Made in Europe - Ikra,1025.0,IKR-AKKU6AH,N/A,https://www.centrale-brico.com/ikra-batterie-de-marque-ikra-36v-6ah-216wh-li-ion-type-li-28-compatible-avec-tous-les-produits-bosch-made-in-europe-b8574300
4006825581652,Accessoires compresseur,B1369200,Raccord pour tuyau  air comprimé,EINHELL,Raccord tuyau 9 mm - EINHELL,16.26,4139320,14.2,https://www.centrale-brico.com/einhell-raccord-tuyau-9-mm-b1369200
4006825581645,Accessoires compresseur,B1369000,Raccord rapide air comprimé,EINHELL,Raccord rapide 9 mm - EINHELL,16.86,4139302,11.03,https://www.centrale-brico.com/einhell-raccord-rapide-9-mm-b1369000
9120039903033,Tour-Touret- Rabot,B8332400,"Poids net en kg : 0,90",Holzmann,Plateau frontale 90 mm - Holzmann,49.49,HOL-PSE90,9.85,https://www.centrale-brico.com/holzmann-plateau-frontale-90-mm-b8332400
9120039903040,Tour-Touret- Rabot,B8330400,"Poids net en kg : 1,40",Holzmann,Plateau frontale 120 mm - Holzmann,56.54,HOL-PSE120,8.07,https://www.centrale-brico.com/holzmann-plateau-frontale-120-mm-b8330400
9120039903057,Tour-Touret- Rabot,B8329200,"Poids net en kg : 3,20",Holzmann,Plateau frontale 200 mm - Holzmann,66.0,HOL-PSE200,N/A,https://www.centrale-brico.com/holzmann-plateau-frontale-200-mm-b8329200
9120039904634,Tour-Touret- Rabot,B8327000,Pointe 60°,Holzmann,Pointe tournante HQ - Holzmann,72.97,HOL-KGRMK4HQ,5.23,https://www.centrale-brico.com/holzmann-pointe-tournante-hq-b8327000
9120039907871,Tour-Touret- Rabot,B8325300,"Poids net en kg : 0,20",Holzmann,Profil contre profil 120 - Holzmann,84.73,HOL-KPF120Z2F2,3.72,https://www.centrale-brico.com/holzmann-profil-contre-profil-120-b8325300
9120039907864,Tour-Touret- Rabot,B8324000,"Poids net en kg : 0,20",Holzmann,Jeu de 2 plaquettes profil N°1 KPF120Z2F1 pour KPF120 - Holzmann,96.47,HOL-KPF120Z2F1,2.56,https://www.centrale-brico.com/holzmann-jeu-de-2-plaquettes-profil-n1-kpf120z2f1-pour-kpf120-b8324000
9120039904641,Tour-Touret- Rabot,B8321900,Pointe 60°,Holzmann,Pointe tournante 60° MK5/MT5/CM5 pour tour métaux - Holzmann,108.21,HOL-KGRMK5HQ,1.72,https://www.centrale-brico.com/holzmann-pointe-tournante-60-mk5mt5cm5-pour-tour-metaux-b8321900
9120058372230,Tour-Touret- Rabot,B8315000," 1 disque de polissage coton cousu, 1 disque de polissage blanc/soft",Holzmann,Touret polisseuse - 520W - 230V - Holzmann,178.1,HOL-DSM150PS_230V,N/A,https://www.centrale-brico.com/holzmann-touret-polisseuse-520w-230v-b8315000
9120039900759,Tour-Touret- Rabot,B8314900,": 2 meules: 1grain 36, et 1 de grain 80",Holzmann,Touret polisseuse - 520W - 230V - Holzmann,178.1,HOL-DSM150_230V,N/A,https://www.centrale-brico.com/holzmann-touret-polisseuse-520w-230v-b8314900
9120039900797,Tour-Touret- Rabot,B8313500,"Poids net en kg : 18,50",Holzmann,Touret à meuler  à ´eau - 520W - 230v - Holzmann,178.02,HOL-DSM150200W_230V,5.71,https://www.centrale-brico.com/holzmann-touret-a-meuler-a-eau-520w-230v-b8313500
9120039900773,Tour-Touret- Rabot,B8307700," 2 meules: 1grain 36, et 1 de grain 80",Holzmann,Touret á meuleur - 900W - 230V - Holzmann,442.1,HOL-DSM200_230V,N/A,https://www.centrale-brico.com/holzmann-touret-a-meuleur-900w-230v-b8307700
9120039902296,Tour-Touret- Rabot,B8307600," 1 meule, 1 brosse",Holzmann,Touret à meuler avec brosse - 900W - 230V - Holzmann,442.1,HOL-DSM200DS_230V,N/A,https://www.centrale-brico.com/holzmann-touret-a-meuler-avec-brosse-900w-230v-b8307600
9120039900780,Tour-Touret- Rabot,B8307000,"2 meules: 1grain 36, et 1 de grain 80",Holzmann,Tourets à meuler - 900W - 230V - Holzmann,452.8,HOL-DSM250_230V,N/A,https://www.centrale-brico.com/holzmann-tourets-a-meuler-900w-230v-b8307000
9120039900810,Tour-Touret- Rabot,B8306900," 2 meules: 1grain 36, et 1 de grain 80",Holzmann,Touret á meuleur - 900W - 400V - Holzmann,452.8,HOL-DSM250_400V,N/A,https://www.centrale-brico.com/holzmann-touret-a-meuleur-900w-400v-b8306900
3223430138014,Accessoires compresseur,B1664900,"Pour air comprimé, permet de gonfler et dégonfler.",OUTIFRANCE,Gonfleur avec manomètre 530 g - OUTIFRANCE,37.86,6530840,24.43,https://www.centrale-brico.com/outifrance-gonfleur-avec-manometre-530-g-b1664900
3223430161678,Accessoires compresseur,B1664800,Raccord pour eau comprimé - écrou égeulé 1/4,OUTIFRANCE,Raccord pour air comprimé - embout rapide mâle - OUTIFRANCE,16.43,6530835,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-embout-rapide-male-b1664800
3223430161654,Accessoires compresseur,B1664600,"2 raccords pour la création d'un circuit d'air comprimé. Cannelés pour tuyau de diamètre intérieur 8 mm, à embout rapide mâle.",OUTIFRANCE,2 raccords cannelés à embout rapide mâle (Ø int. 8 mm) - OUTIFRANCE,13.96,6530833,N/A,https://www.centrale-brico.com/outifrance-2-raccords-canneles-a-embout-rapide-male-int-8-mm-b1664600
3223430138021,Accessoires compresseur,B1664500,"En aluminium, pour tous travaux de soufflage, séchage, dépoussiérage.",OUTIFRANCE,Soufflette 220 g - OUTIFRANCE,16.97,6530830,N/A,https://www.centrale-brico.com/outifrance-soufflette-220-g-b1664500
3223430169681,Accessoires compresseur,B1664400,Pour air comprimé.,OUTIFRANCE,2 embouts de gonflage pour valves de pneu automobile - OUTIFRANCE,16.22,6530827,N/A,https://www.centrale-brico.com/outifrance-2-embouts-de-gonflage-pour-valves-de-pneu-automobile-b1664400
3223430169698,Accessoires compresseur,B1664300,Pour air comprimé.,OUTIFRANCE,"3 embouts de gonflage (ballons, matelas, bateaux...) - OUTIFRANCE",18.82,6530826,N/A,https://www.centrale-brico.com/outifrance-3-embouts-de-gonflage-ballons-matelas-bateaux-b1664300
3223430161814,Accessoires compresseur,B1664200,Raccord pour eau comprimé - filetage 1/4,OUTIFRANCE,Raccord pour air comprimé - embout rapide femelle - OUTIFRANCE,20.66,6530822,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-embout-rapide-femelle-b1664200
3223430161807,Accessoires compresseur,B1664100,Raccord pour eau comprimé - filetage 1/4,OUTIFRANCE,Raccord pour air comprimé - embout rapide mâle - OUTIFRANCE,13.96,6530821,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-embout-rapide-male-b1664100
3223430169667,Accessoires compresseur,B1664000,"2 raccords pour la création d'un circuit d'air comprimé. Cannelés pour tuyau de diamètre intérieur 8 mm, à filetage 1/4.",OUTIFRANCE,2 raccords cannelés à filetage 1/4 (Ø int. 8 mm) - OUTIFRANCE,13.96,6530819,N/A,https://www.centrale-brico.com/outifrance-2-raccords-canneles-a-filetage-14-int-8-mm-b1664000
3223430169643,Accessoires compresseur,B1663900,Raccord pour eau comprimé - baionnette,OUTIFRANCE,Raccord pour air comprimé - embout rapide mâle - OUTIFRANCE,14.46,6530818,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-embout-rapide-male-b1663900
3223430161791,Accessoires compresseur,B1663800,Raccord pour eau comprimé - taraudage 1/4,OUTIFRANCE,Raccord pour air comprimé - embout rapide mâle - OUTIFRANCE,14.68,6530817,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-embout-rapide-male-b1663800
3223430161784,Accessoires compresseur,B1663700,Raccord pour eau comprimé - filetage 1/4,OUTIFRANCE,Raccord pour air comprimé - Taraudage 3/8 - OUTIFRANCE,14.32,6530816,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-taraudage-38-b1663700
3223430169650,Accessoires compresseur,B1663600,Raccord pour eau comprimé - écrou égeulé 1/4,OUTIFRANCE,Raccord pour air comprimé - écrou égeulé 1/4 - OUTIFRANCE,14.53,6530815,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-ecrou-egeule-14-b1663600
3223430169674,Accessoires compresseur,B1663500,Raccord pour eau comprimé - taraudage 1/4,OUTIFRANCE,Raccord pour air comprimé - taraudage ¼ - OUTIFRANCE,13.49,6530813,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-taraudage--b1663500
3223430137970,Accessoires compresseur,B1663300,Raccord pour eau comprimé - taraudage 1/4,OUTIFRANCE,Raccord pour air comprimé - écrou égeulé 1/4 - OUTIFRANCE,15.83,6530810,N/A,https://www.centrale-brico.com/outifrance-raccord-pour-air-comprime-ecrou-egeule-14-b1663300
3223430137963,Accessoires compresseur,B1663100,"2 raccords pour la création d'un circuit d'air comprimé. Cannelés pour tuyau de diamètre intérieur 8 mm, à baïonette.",OUTIFRANCE,2 raccords cannelés à baïonette (Ø int. 8 mm) - OUTIFRANCE,13.54,6530808,N/A,https://www.centrale-brico.com/outifrance-2-raccords-canneles-a-baionette-int-8-mm-b1663100
3373270009156,Accessoires compresseur,B6108900,Bec court en métal,PRODIF,Souflette à bec court PRODIF - PRODIF,9.24,PRO-1151,N/A,https://www.centrale-brico.com/prodif-souflette-a-bec-court-prodif-b6108900
3373270002577,Accessoires compresseur,B6108700,Bec long en métal,PRODIF,Soufflette à bec long PRODIF - PRODIF,8.92,PRO-1152V,N/A,https://www.centrale-brico.com/prodif-soufflette-a-bec-long-prodif-b6108700
8020119067956,Accessoires compresseur,B5944400,,MICHELIN,Malette de 66 pièces MICHELIN - MICHELIN,209.12,MIC-8020119067956,N/A,https://www.centrale-brico.com/michelin-malette-de-66-pieces-michelin-b5944400
8020119066218,Accessoires compresseur,B5871500,,MICHELIN,Insert rapide MICHELIN - MICHELIN,7.76,MIC-1126001505,5.37,https://www.centrale-brico.com/michelin-insert-rapide-michelin-b5871500
8020119084502,Accessoires compresseur,B5871400,,MICHELIN,Insert rapide cannelé MICHELIN - MICHELIN,7.67,MIC-1126001502,36.08,https://www.centrale-brico.com/michelin-insert-rapide-cannele-michelin-b5871400
8020119067222,Accessoires compresseur,B5871300,,MICHELIN,Insert filetage MICHELIN - MICHELIN,6.59,MIC-1126001507,19.63,https://www.centrale-brico.com/michelin-insert-filetage-michelin-b5871300
4006825641400,Accessoires compresseur,B5450000,"La meuleuse droite à air comprimé Einhell TC-PP 220 permet de réaliser avec précision et puissance des travaux de ponçage, de polissage, de gravure ou d’ébavurage. Cette ponceuse droite Einhell avec une vitesse de rotation maximale de 22 000 tour/min offre une performance optimale à partir d’un diamètre intérieur de tuyau de 9 mm. La poignée en caoutchouc permet une utilisation en toute sécurité. La meuleuse droite à air comprimé est adaptée à une utilisation d’une seule main. La gâchette de sécurité prévient tout démarrage intempestif. Les 10 meules sur tige fournies en accessoires offrent de multiples possibilités d’utilisation. Sont également vendus avec la meuleuse droite 1 burette d’huile, 1 raccord et 2 clés de serrage. L'outil est vendu dans son coffret de transport et de rangement très pratique.",EINHELL,Ponceuse vibrante pneumatique TC-PP 220 - EINHELL,47.46,EIN-4138540,12.03,https://www.centrale-brico.com/einhell-ponceuse-vibrante-pneumatique-tc-pp-220-b5450000
4006825581676,Accessoires compresseur,B4962400,"Embout à filetage, Filetage mâle R 1/4"", Ø 6 mm",EINHELL,"Embout à filetage, filetage mâle R 1/4"", Ø 6 mm - EINHELL",15.29,EIN-4139665,4.14,https://www.centrale-brico.com/einhell-embout-a-filetage-filetage-male-r-14-6-mm-b4962400
4006825581669,Accessoires compresseur,B4365300," Embout à filetage, filetage mâle R 3/8"", Ø 6 mm",EINHELL,"Embout à filetage, filetage mâle R 3/8"", Ø 6 mm - EINHELL",15.29,4139666,4.14,https://www.centrale-brico.com/einhell-embout-a-filetage-filetage-male-r-38-6-mm-b4365300
4006825560824,Accessoires compresseur,B4365100,"Raccord rapide, filetage mâle R 1/4""",EINHELL,"Raccord rapide, filetage mâle R 1/4"" - EINHELL",18.01,4139207,4.96,https://www.centrale-brico.com/einhell-raccord-rapide-filetage-male-r-14-b4365100
3660058017213,Accessoires compresseur,B4146400,"Jonction pour tuyau en laiton. Avec filetage gaz BSP. Passage libre air, eau, fluides inertes. Pression 0 à 15 bar.",PREVOST,Raccord tuyau air mâle/mâle Ø 10 mm - PREVOST,10.78,D-6840410,N/A,https://www.centrale-brico.com/prevost-raccord-tuyau-air-malemale-10-mm-b4146400
3660058017206,Accessoires compresseur,B4146300,"Jonction pour tuyau en laiton. Avec filetage gaz BSP. Passage libre air, eau, fluides inertes. Pression 0 à 15 bar.",PREVOST,Raccord tuyau air mâle/mâle Ø 8 mm - PREVOST,9.56,D-6840408,N/A,https://www.centrale-brico.com/prevost-raccord-tuyau-air-malemale-8-mm-b4146300
3660058232821,Accessoires compresseur,B4146200,Lot de 2 raccords en Y pour tuyau en laiton nickelé.,PREVOST,"Raccords ""Y"" taraudés - double 3/8 femelle et 3/8 femelle (2p) - PREVOST",32.47,D-6840336,5.09,https://www.centrale-brico.com/prevost-raccords-y-taraudes-double-38-femelle-et-38-femelle-2p-b4146200
3660058232418,Accessoires compresseur,B4145800,"Lot de 2 jonctions pour tuyau en laiton. Avec filetage gaz BSP. Passage libre air, eau, fluides inertes. Pression 0 à 15 bar.",PREVOST,Jonctions pour tuyaux - filetage 1/4 mâle et cannelé pour tuyan Ø 8 mm (2p) - PREVOST,15.73,D-6840301,N/A,https://www.centrale-brico.com/prevost-jonctions-pour-tuyaux-filetage-14-male-et-cannele-pour-tuyan-8-mm-2p-b4145800
3660058232739,Accessoires compresseur,B4145700,2 réductions en laiton nickelé.,PREVOST,Réductions de filetage conique vers taraudage - 1/2 mâle à 3/8 femelle (2p) - PREVOST,15.0,D-6840211,N/A,https://www.centrale-brico.com/prevost-reductions-de-filetage-conique-vers-taraudage-12-male-a-38-femelle-2p-b4145700
3660058232722,Accessoires compresseur,B4145600,2 réductions en laiton nickelé.,PREVOST,Réductions de filetage conique vers taraudage - 3/8 mâle à 1/4 femelle (2p) - PREVOST,13.0,D-6840206,N/A,https://www.centrale-brico.com/prevost-reductions-de-filetage-conique-vers-taraudage-38-male-a-14-femelle-2p-b4145600
4006825674774,Accessoires compresseur,B8561400,"Ce kit d'air comprimé complet de 15 pièces d'Einhell est l'accessoire idéal pour tout compresseur, permettant des tâches de gonflage et de nettoyage variées. Il comprend une jauge numérique pour un contrôle précis de la pression, une soufflette avec plusieurs buses, et une série d’adaptateurs pour répondre à différents besoins. Le tout est livré avec un sac de rangement pratique, doté d’une fermeture Velcro pour un transport et un rangement faciles.",EINHELL,"Kit d'air comprimé , 15 pièces avec manomètre numérique et sac de rangement - EINHELL",58.75,EIN-4139693,18.35,https://www.centrale-brico.com/einhell-kit-d-air-comprime-15-pieces-avec-manometre-numerique-et-sac-de-rangement-b8561400
4006825672381,Accessoires compresseur,B8561300,"Le kit d'air comprimé original Einhell est un ensemble complet de 10 pièces conçu pour répondre à divers besoins de gonflage et de nettoyage avec un compresseur. Il comprend une jauge de gonflage des pneus avec des lectures en bar et psi, des adaptateurs pour valves et un sac de rangement pratique avec fermeture Velcro, idéal pour le rangement et le transport.",EINHELL,"Kit d'air comprimé , 10 pièces avec sac de rangement - EINHELL",37.67,EIN-4139694,10.2,https://www.centrale-brico.com/einhell-kit-d-air-comprime-10-pieces-avec-sac-de-rangement-b8561300
9120039233437,Accessoires compresseur,B8348400,,Zipper,Kit 5 pieces pour Compresseurs - Zipper,63.0,ZIP-ZI-COMZUB5,N/A,https://www.centrale-brico.com/zipper-kit-5-pieces-pour-compresseurs-b8348400
9120039233062,Accessoires compresseur,B8348300,,Zipper,Kit 11 pieces pour Compresseurs - Zipper,49.0,ZIP-ZI-COMZUB11,N/A,https://www.centrale-brico.com/zipper-kit-11-pieces-pour-compresseurs-b8348300
4007430232281,Accessoires compresseur,B7650700,,Metabo,"Jeu de clés à douille 1"" antichoc - Metabo",284.75,MET-628835000,13.7,https://www.centrale-brico.com/metabo-jeu-de-cles-a-douille-1-antichoc-b7650700
4007430232250,Accessoires compresseur,B7638000,,Metabo,"Jeu de clés à douille 1/2"" antichoc - Metabo",69.9,MET-628831000,21.41,https://www.centrale-brico.com/metabo-jeu-de-cles-a-douille-12-antichoc-b7638000
4007430263162,Accessoires compresseur,B7627300,Pour l'utilisation de raccords ISO et UNI,Metabo,"Raccord fileté enfichable R 1/4"" FE ISO  pour compresseur - Metabo",14.92,MET-628747000,N/A,https://www.centrale-brico.com/metabo-raccord-filete-enfichable-r-14-fe-iso-pour-compresseur-b7627300
4006825599046,Accessoires compresseur,B7274200,"Accessoires pour compresseur Quick Coupling R1/2"" IG",EINHELL,"Raccord rapide universel R1/2"" FI pour compresseur - EINHELL",16.75,EIN-4139210,11.61,https://www.centrale-brico.com/einhell-raccord-rapide-universel-r12-fi-pour-compresseur-b7274200
4006825581621,Accessoires compresseur,B7274100,"Accessoires pour compresseur Grommet, 9mm dia",EINHELL,Embout pour tuyau de compresseur Ø 9 mm - EINHELL,15.51,EIN-4139661,2.76,https://www.centrale-brico.com/einhell-embout-pour-tuyau-de-compresseur-9-mm-b7274100
4006825411690,Accessoires compresseur,B7274000,Accessoires pour compresseur Stecktülle; d6mm,EINHELL,Embout pour tuyau de compresseur Ø 6 mm - EINHELL,13.98,EIN-4139660,12.35,https://www.centrale-brico.com/einhell-embout-pour-tuyau-de-compresseur-6-mm-b7274000
